text,intent
Puis-je obtenir une bourse de mobilité internationale ?,faq
"Bonjour, comment obtenir une attestation fiscale ?",faq
Comment faire une demande d'exeat ?,faq
"Bonjour, puis-je amener mon animal de compagnie sur le campus ?",faq
"Bonjour, comment préparer mon projet professionnel ?",faq
Email de Bibliothèque - Médiathèque,contact
"Bonjour, puis-je travailler en parallèle de mes études ?",faq
"Bonjour, combien d'absences sont tolérées ?",faq
Je ne sais pas comment signalement de harcèlement ou discrimination,procedure
Email de Urgence Campus ESIC,contact
"Bonjour, quels sont les jours fériés pendant l'année ?",faq
Comment je peux obtenir mon calendrier personnalisé ?,faq
"Bonjour, puis-je assister à un cours d'une autre promotion ?",faq
"Bonjour, y a-t-il une aide pour trouver un logement ?",faq
Comment faire : Obtention du Diplôme Final ?,procedure
Quelles étapes pour Signalement d'un Incident Technique (IT) ?,procedure
Je veux faire une demande : Demande de Convention de Stage,procedure
Quand commencent les vacances ?,calendar
Comment fonctionne la représentation étudiante ?,faq
Je veux faire une demande : Emprunt de Livres à la Bibliothèque,procedure
"Bonjour, comment suspendre provisoirement mes études ?",faq
"Bonjour, mon emploi du temps a changé, comment suis-je informé ?",faq
Procédure pour Obtention d'un Certificat de Scolarité,procedure
Combien d'absences sont tolérées ?,faq
Horaires de Police,contact
Comment accéder au WiFi sur le campus ?,faq
Y a-t-il des cours en ligne ou en distanciel ?,faq
Je veux joindre Urgence Campus ESIC,contact
"Bonjour, y a-t-il des casiers disponibles pour les étudiants ?",faq
"Bonjour, y a-t-il un parking sur le campus ?",faq
Je veux joindre Numéro d'urgence européen,contact
Comment contacter Sécurité Campus ?,contact
Je veux faire une demande : Inscription à un Programme de Mobilité Internationale,procedure
Où se trouve Restaurant Universitaire ?,contact
Où se trouve Pompiers ?,contact
Procédure pour Demande de Prêt de Matériel Informatique,procedure
Quels sont les débouchés professionnels après le diplôme ?,faq
"Bonjour, qui dois-je contacter si j'ai un problème avec mon emploi du temps ?",faq
Procédure pour Signalement de Harcèlement ou Discrimination,procedure
"Bonjour, quels sont les débouchés professionnels après le diplôme ?",faq
Je ne sais pas comment demande de contrat d'alternance,procedure
Quels sont les projets proposés pendant la formation ?,faq
Horaires de Admissions,contact
Procédure pour Demande de Césure,procedure
"Bonjour, comment accéder aux ressources numériques de la bibliothèque ?",faq
Où se trouve Bibliothèque - Médiathèque ?,contact
Comment puis-je obtenir mon calendrier personnalisé ?,faq
Où se trouve Psychologie ?,contact
"Bonjour, quels sont les horaires de la bibliothèque ?",faq
Puis-je faire un double diplôme à l'étranger ?,faq
"Bonjour, quand a lieu le forum des entreprises ?",faq
Je veux joindre Service Social,contact
Horaires de Bibliothèque - Médiathèque,contact
Procédure pour Inscription à une Certification Professionnelle,procedure
"Bonjour, comment obtenir mon code INE/BEA ?",faq
Je ne sais pas comment emprunt de livres à la bibliothèque,procedure
Je peux poursuivre en doctorat après le Master ?,faq
"Bonjour, quelles sont les spécialisations disponibles en Bachelor 3 ?",faq
"Bonjour, quels sont les projets proposés pendant la formation ?",faq
Je ne sais pas comment contestation d'une note,procedure
Comment faire : Demande de Contrat d'Alternance ?,procedure
Puis-je me réorienter après la première année ?,faq
"Bonjour, quand commence le semestre 2 ?",faq
Je veux faire une demande : Inscription à une Certification Professionnelle,procedure
"Bonjour, comment accéder au réseau des Alumni ?",faq
Puis-je accéder au campus le week-end ?,faq
Quelles étapes pour Emprunt de Livres à la Bibliothèque ?,procedure
"Bonjour, comment obtenir mon diplôme après la validation ?",faq
Comment faire : Emprunt de Livres à la Bibliothèque ?,procedure
Comment contacter Service Social ?,contact
"Bonjour, comment obtenir une convention de stage ?",faq
"Bonjour, y a-t-il un service de photocopies ?",faq
Je veux faire une demande : Signalement d'un Incident Technique (IT),procedure
Comment puis-je voir les notes de mes camarades ?,faq
Comment contacter Admissions ?,contact
"Bonjour, comment modifier mes informations personnelles ?",faq
Email de Bureau de la Vie Étudiante (BVE),contact
"Bonjour, comment protège-t-on mes données personnelles (RGPD) ?",faq
Je ne sais pas comment demande de validation des acquis de l'expérience (vae),procedure
Comment payer mes frais de scolarité ?,faq
Puis-je porter ce que je veux sur le campus ?,faq
Comment faire : Inscription à un Programme de Mobilité Internationale ?,procedure
Email de Fil Santé Jeunes,contact
Horaires de Service des Sports,contact
Je peux faire un double diplôme à l'étranger ?,faq
"Bonjour, comment faire une demande de césure ?",faq
Horaires de SAMU,contact
Procédure pour Inscription à un Examen de Rattrapage,procedure
"Bonjour, comment payer mes frais de scolarité ?",faq
Email de Sécurité Campus,contact
Où se trouve Bureau de la Vie Étudiante (BVE) ?,contact
"Bonjour, comment se déroule un semestre d'échange à l'étranger ?",faq
"Bonjour, y a-t-il un service de navette entre les campus ?",faq
"Bonjour, comment obtenir mon relevé de notes ?",faq
Horaires de Service Carrières et Relations Entreprises,contact
Email de SOS Amitié,contact
Comment obtenir une carte IZLY pour le restaurant universitaire ?,faq
Je peux travailler en parallèle de mes études ?,faq
"Bonjour, quand a lieu la journée d'intégration ?",faq
Comment contacter Restaurant Universitaire ?,contact
Comment contacter Relations Internationales ?,contact
Horaires de Psychologie,contact
Je veux joindre Santé - Infirmerie,contact
Comment se passe la remise des diplômes ?,faq
Comment obtenir une prolongation de délai pour un rendu ?,faq
Comment obtenir mon diplôme après la validation ?,faq
Horaires de Urgence Campus ESIC,contact
Dates des examens,exam
Je veux joindre Scolarité,contact
Jusqu'à quelle heure y a-t-il des cours ?,faq
Comment faire : Inscription à une Certification Professionnelle ?,procedure
Comment obtenir un visa étudiant (pour étudiants internationaux) ?,faq
Email de Psychologie,contact
Je ne sais pas comment organisation d'un événement sur le campus,procedure
Je veux joindre Cafétéria,contact
"Bonjour, quelle est la différence entre CM, TD et TP ?",faq
Horaires de Restaurant Universitaire,contact
Quelles étapes pour Création d'une Association Étudiante ?,procedure
Comment faire une demande de bourse CROUS ?,faq
Y a-t-il une connexion VPN pour accéder aux ressources depuis chez moi ?,faq
Email de Cafétéria,contact
"Bonjour, y a-t-il des sanctions disciplinaires et lesquelles ?",faq
"Bonjour, puis-je accéder au campus le week-end ?",faq
Comment protège-t-on mes données personnelles (RGPD) ?,faq
Je ne sais pas comment demande de transfert de dossier et exeat,procedure
Je ne sais pas comment demande de bourse crous,procedure
Procédure pour Demande d'Aide Financière d'Urgence,procedure
Procédure pour Création d'une Association Étudiante,procedure
Quelles étapes pour Demande de Contrat d'Alternance ?,procedure
Je veux joindre Relations Internationales,contact
Puis-je arriver en retard à un examen ?,faq
"Bonjour, quels sont mes droits en tant qu'étudiant ?",faq
"Bonjour, comment obtenir une prolongation de délai pour un rendu ?",faq
Comment accéder aux ressources numériques de la bibliothèque ?,faq
"Bonjour, puis-je partir en vacances avant la fin du semestre ?",faq
Comment rejoindre ou créer une association étudiante ?,faq
"Bonjour, quand se déroule la semaine de révisions ?",faq
"Bonjour, jusqu'à quelle heure y a-t-il des cours ?",faq
Puis-je organiser un événement sur le campus ?,faq
Quelles étapes pour Activation et Utilisation du Compte ENT ?,procedure
Où se trouve Violences Femmes Info ?,contact
Quels sont les horaires de la bibliothèque ?,faq
Comment obtenir un justificatif de présence pour la sécurité sociale ?,faq
Comment emprunter un livre à la bibliothèque ?,faq
Y a-t-il une aide pour les étudiants en situation de handicap ?,faq
Je peux emprunter du matériel informatique ?,faq
Je peux assister à un cours d'une autre promotion ?,faq
Comment signaler un objet trouvé ou perdu ?,faq
"Bonjour, comment fonctionne le planning des projets ?",faq
Je veux joindre SAMU,contact
"Bonjour, que se passe-t-il si je suis malade le jour d'un examen ?",faq
Je ne sais pas comment réservation d'une salle,procedure
Quelles étapes pour Demande d'Aménagement pour Situation de Handicap ?,procedure
"Bonjour, y a-t-il des cours en ligne ou en distanciel ?",faq
Comment faire : Inscription Administrative ?,procedure
Comment faire : Création d'une Association Étudiante ?,procedure
Email de Pompiers,contact
"Bonjour, puis-je avoir un emploi du temps aménagé ?",faq
"Bonjour, puis-je me réorienter après la première année ?",faq
"Bonjour, puis-je créer ma propre startup pendant mes études ?",faq
Comment contacter Urgence Campus ESIC ?,contact
"Bonjour, puis-je poursuivre en doctorat après le Master ?",faq
Je veux joindre Sécurité Campus,contact
Quand dois-je choisir ma spécialisation ?,faq
Comment participer à des projets solidaires ou bénévoles ?,faq
Comment contacter Bureau de la Vie Étudiante (BVE) ?,contact
Comment faire une réclamation ou signaler un problème ?,faq
Comment obtenir un duplicata de diplôme ?,faq
"Bonjour, comment faire une réclamation ou signaler un problème ?",faq
Puis-je créer ma propre startup pendant mes études ?,faq
Comment faire : Contestation d'une Note ?,procedure
Je ne sais pas comment inscription à un examen de rattrapage,procedure
"Bonjour, comment consulter un médecin ou une infirmière sur le campus ?",faq
Je veux joindre Police,contact
Quelles étapes pour Inscription à un Programme de Mobilité Internationale ?,procedure
Problème de mot de passe ENT,ent
Comment rejoindre le Bureau Des Étudiants (BDE) ?,faq
Je peux obtenir un reçu fiscal pour mes frais de scolarité ?,faq
Horaires de Numéro d'urgence européen,contact
"Bonjour, y a-t-il une permanence de mon responsable de formation ?",faq
"Bonjour, y a-t-il une boutique ou une librairie sur le campus ?",faq
"Bonjour, quand aurons-nous les résultats des examens ?",faq
Comment obtenir une convention de stage ?,faq
Je veux faire une demande : Réservation d'une Salle,procedure
"Bonjour, quels sont les horaires du restaurant universitaire ?",faq
Procédure pour Procédure Disciplinaire,procedure
Y a-t-il une permanence de mon responsable de formation ?,faq
Quelles étapes pour Contestation d'une Note ?,procedure
Comment faire : Demande d'Aide Financière d'Urgence ?,procedure
Procédure pour Activation et Utilisation du Compte ENT,procedure
Comment faire : Inscription à un Examen de Rattrapage ?,procedure
Comment connaître la salle d'examen ?,faq
"Bonjour, comment l'école nous aide-t-elle à trouver un stage ou une alternance ?",faq
Où se trouve Santé - Infirmerie ?,contact
Où se trouve Fil Santé Jeunes ?,contact
Procédure pour Demande de Transfert de Dossier et Exeat,procedure
Email de Police,contact
Où se trouve Comptabilité et Finances ?,contact
Y a-t-il un service de photocopies ?,faq
Comment faire : Déclaration d'Absence ?,procedure
Y a-t-il un distributeur de billets (DAB) sur le campus ?,faq
"Bonjour, puis-je modifier mon groupe de TD/TP ?",faq
Quels sont les jours fériés pendant l'année ?,faq
Email de SAMU,contact
Horaires de Cafétéria,contact
Procédure pour Contestation d'une Note,procedure
Où se trouve Police ?,contact
Je veux faire une demande : Demande de Bourse CROUS,procedure
Quelles étapes pour Procédure Disciplinaire ?,procedure
"Bonjour, y a-t-il un distributeur de billets (DAB) sur le campus ?",faq
Puis-je imprimer des documents sur le campus ?,faq
Où voir mon planning ?,timetable
Comment obtenir une réduction étudiante ?,faq
Y a-t-il une aide pour trouver un logement ?,faq
Comment obtenir une attestation de stage ?,faq
Comment obtenir mon code INE/BEA ?,faq
Horaires de Scolarité,contact
Quand ont lieu les examens ?,faq
Je peux créer ma propre startup pendant mes études ?,faq
Je veux faire une demande : Inscription Administrative,procedure
"Bonjour, quelles sont les passerelles vers d'autres écoles ?",faq
Comment faire : Demande de Prêt de Matériel Informatique ?,procedure
Je veux mon emploi du temps,timetable
Je peux avoir un emploi du temps aménagé ?,faq
"Bonjour, comment puis-je obtenir mon calendrier personnalisé ?",faq
Quelles étapes pour Demande de Bourse CROUS ?,procedure
Téléphone de Bureau de la Vie Étudiante (BVE),contact
Je veux joindre Communication,contact
Bonsoir,faq
Comment contacter Violences Femmes Info ?,contact
Quelles sont les dates des vacances scolaires ?,faq
Procédure pour Réservation d'une Salle,procedure
Je peux porter ce que je veux sur le campus ?,faq
Comment contacter Service Carrières et Relations Entreprises ?,contact
"Bonjour, y a-t-il une connexion VPN pour accéder aux ressources depuis chez moi ?",faq
Qui dois-je contacter si j'ai un problème avec mon emploi du temps ?,faq
Je peux arriver en retard à un examen ?,faq
Je peux amener mon animal de compagnie sur le campus ?,faq
Où se trouve Communication ?,contact
Je ne sais pas comment demande d'aide financière d'urgence,procedure
"Bonjour, comment fonctionne le système de rattrapage ?",faq
Y a-t-il des casiers disponibles pour les étudiants ?,faq
Je peux utiliser les installations le soir ou pendant les vacances ?,faq
Je veux joindre Psychologie,contact
Je ne sais pas comment signalement d'un incident technique (it),procedure
"Bonjour, puis-je obtenir une bourse de mobilité internationale ?",faq
Je ne sais pas comment déclaration d'absence,procedure
Comment contacter Cafétéria ?,contact
Téléphone de Bibliothèque - Médiathèque,contact
"Bonjour, y a-t-il des cours pendant les vacances ?",faq
"Bonjour, comment choisir entre stage et alternance ?",faq
Comment activer mon compte ENT ?,faq
"Bonjour, comment obtenir un justificatif de présence pour la sécurité sociale ?",faq
Comment préparer mon projet professionnel ?,faq
Où se trouve Service des Sports ?,contact
"Bonjour, comment activer mon compte ENT ?",faq
"Bonjour, comment obtenir un justificatif de déplacement pour la CAF ?",faq
Comment accéder au réseau des Alumni ?,faq
Comment contacter Scolarité ?,contact
Email de Violences Femmes Info,contact
Téléphone de Urgence Campus ESIC,contact
Comment m'inscrire à une certification professionnelle ?,faq
Y a-t-il un service de navette entre les campus ?,faq
Comment contacter Police ?,contact
Quand commence le semestre 2 ?,faq
Horaires de Pompiers,contact
Comment contacter Numéro d'urgence européen ?,contact
Y a-t-il des examens blancs ?,faq
"Bonjour, combien d'heures de cours par semaine ?",faq
Je veux faire une demande : Obtention d'un Certificat de Scolarité,procedure
J'ai un problème avec mon emploi du temps,timetable
Comment fonctionne le planning des projets ?,faq
Téléphone de Violences Femmes Info,contact
Je veux faire une demande : Inscription à un Examen de Rattrapage,procedure
Comment contacter Service des Sports ?,contact
"Quelle est la différence entre CM, TD et TP ?",faq
Comment faire : Réservation d'une Salle ?,procedure
Y a-t-il une cafétéria sur le campus ?,faq
Comment faire une demande de changement de formation ?,faq
"Bonjour, quelle est la politique de l'école concernant le plagiat ?",faq
Puis-je assister à un cours d'une autre promotion ?,faq
"Bonjour, où puis-je consulter mon emploi du temps ?",faq
"Mon emploi du temps a changé, comment suis-je informé ?",faq
Où se trouve Informatique - Helpdesk IT ?,contact
Comment puis-je réserver une salle ?,faq
Je veux joindre Admissions,contact
Téléphone de Comptabilité et Finances,contact
Où se trouve ma salle de cours ?,faq
"Bonjour, y a-t-il des bourses ou aides spécifiques de l'école ?",faq
Comment faire : Obtention d'un Certificat de Scolarité ?,procedure
"Bonjour, où puis-je réchauffer mon repas ?",faq
Je ne sais pas comment création d'une association étudiante,procedure
"Bonjour, comment puis-je voir les notes de mes camarades ?",faq
Puis-je emprunter du matériel informatique ?,faq
"Bonjour, combien de temps durent les examens ?",faq
Comment fonctionne le système de majeure/mineure ?,faq
Téléphone de Sécurité Campus,contact
Quelles étapes pour Déclaration d'Absence ?,procedure
Je ne sais pas comment procédure disciplinaire,procedure
Comment je peux réserver une salle ?,faq
"Bonjour, où se trouve ma salle de cours ?",faq
"Bonjour, quelles sont les règles en cas d'urgence ou d'évacuation ?",faq
Puis-je avoir un emploi du temps aménagé ?,faq
Horaires de Bureau de la Vie Étudiante (BVE),contact
"Bonjour, puis-je organiser un événement sur le campus ?",faq
Y a-t-il une salle de sport sur le campus ?,faq
À quelle heure commencent les cours le matin ?,faq
"Bonjour, comment faire une demande de remboursement ?",faq
"Bonjour, puis-je imprimer des documents sur le campus ?",faq
Email de Service Social,contact
"Bonjour, comment faire valider mes acquis professionnels ?",faq
Quand a lieu la journée d'intégration ?,faq
"Bonjour, comment emprunter un livre à la bibliothèque ?",faq
Quand a lieu l'examen de machine learning ?,exam
Comment contacter Fil Santé Jeunes ?,contact
Procédure pour Demande de Contrat d'Alternance,procedure
Comment s'inscrire en tant qu'alternant ?,faq
Y a-t-il une boutique ou une librairie sur le campus ?,faq
Où puis-je réchauffer mon repas ?,faq
"Bonjour, puis-je utiliser les installations le soir ou pendant les vacances ?",faq
Je veux faire une demande : Signalement de Harcèlement ou Discrimination,procedure
Comment puis-je exporter mon emploi du temps sur mon téléphone ?,faq
Quand se déroule la semaine de révisions ?,faq
Que se passe-t-il si je suis malade le jour d'un examen ?,faq
Procédure pour Déclaration d'Absence,procedure
"Bonjour, comment puis-je obtenir un certificat de scolarité ?",faq
"Bonjour, quand commence le semestre 1 ?",faq
Où consulter mon emploi du temps ?,timetable
Existe-t-il des cours de soutien ou du tutorat ?,faq
Où se trouve Scolarité ?,contact
Quelles étapes pour Inscription Administrative ?,procedure
Je peux accéder au campus le week-end ?,faq
Téléphone de Relations Internationales,contact
Je veux faire une demande : Demande d'Aménagement pour Situation de Handicap,procedure
"Bonjour, existe-t-il des cours de soutien ou du tutorat ?",faq
Puis-je modifier mon groupe de TD/TP ?,faq
"Bonjour, que faire en cas de harcèlement ou de discrimination ?",faq
"Bonjour, comment obtenir une carte de réduction transport (Imagine R) ?",faq
"Bonjour, comment rejoindre ou créer une association étudiante ?",faq
Je veux faire une demande : Création d'une Association Étudiante,procedure
Comment obtenir une carte de réduction transport (Imagine R) ?,faq
Je veux faire une demande : Demande d'Aide Financière d'Urgence,procedure
Comment obtenir une attestation de réussite ?,faq
"Bonjour, comment obtenir un duplicata de bulletin ?",faq
Procédure pour Organisation d'un Événement sur le Campus,procedure
Comment obtenir une attestation d'assurance scolaire ?,faq
Quelles étapes pour Signalement de Harcèlement ou Discrimination ?,procedure
"Bonjour, comment obtenir une attestation d'assurance scolaire ?",faq
"Bonjour, comment m'inscrire à un examen de rattrapage ?",faq
Téléphone de Restaurant Universitaire,contact
Comment m'inscrire aux cours de langue ?,faq
Comment contacter Informatique - Helpdesk IT ?,contact
Téléphone de Admissions,contact
"Bonjour, comment contester une note ?",faq
"Bonjour, comment sont organisées les soutenances de projet ?",faq
Quand commence le semestre 2 ?,calendar
Comment obtenir mon relevé de notes ?,faq
"Bonjour, comment obtenir une attestation de réussite ?",faq
Quelles étapes pour Demande de Validation des Acquis de l'Expérience (VAE) ?,procedure
Horaires de Comptabilité et Finances,contact
"Bonjour, comment faire une demande de changement de formation ?",faq
Quelles étapes pour Demande de Transfert de Dossier et Exeat ?,procedure
"Bonjour, comment obtenir un duplicata de diplôme ?",faq
Quelle est la politique de l'école concernant le plagiat ?,faq
Comment obtenir une attestation fiscale ?,faq
Comment se déroule un semestre d'échange à l'étranger ?,faq
Je veux faire une demande : Demande de Césure,procedure
"Bonjour, comment fonctionne l'assurance scolaire ?",faq
Comment contacter le service informatique en cas de problème technique ?,faq
Horaires de SOS Amitié,contact
Quelles certifications professionnelles puis-je obtenir ?,faq
Téléphone de Numéro d'urgence européen,contact
"Bonjour, comment obtenir une attestation de stage ?",faq
"Bonjour, comment se passe la remise des diplômes ?",faq
Quelles étapes pour Organisation d'un Événement sur le Campus ?,procedure
Téléphone de Communication,contact
Horaires de Informatique - Helpdesk IT,contact
Quand aurons-nous les résultats des examens ?,faq
Y a-t-il des cours pendant les vacances ?,faq
"Bonjour, comment fonctionne le système de majeure/mineure ?",faq
Mon planning a changé,timetable
Quels sont mes droits en tant qu'étudiant ?,faq
Je veux faire une demande : Activation et Utilisation du Compte ENT,procedure
Procédure pour Signalement d'un Incident Technique (IT),procedure
Comment suspendre provisoirement mes études ?,faq
Quelles étapes pour Réservation d'une Salle ?,procedure
L'école propose-t-elle des formations continues ou de la VAE ?,faq
"Bonjour, y a-t-il une cafétéria sur le campus ?",faq
Téléphone de Informatique - Helpdesk IT,contact
"Bonjour, quelles sont les règles concernant l'alcool sur le campus ?",faq
Téléphone de SOS Amitié,contact
Comment faire : Signalement d'un Incident Technique (IT) ?,procedure
